lastname,firstname,team,points,games,liga_id,league_name,season,bezirk
13.,Vogel,Michael,BBC Bayreuth,65,261,Bezirksliga,2003,Oberfranken
14.,Lohneis,Rüdiger,TSV Breitengüßbach,58,261,Bezirksliga,2003,Oberfranken
15.,Geheeb,Rainer,TSV Hirschaid,58,261,Bezirksliga,2003,Oberfranken
16.,Tadda,Walter,TSV Breitengüßbach,53,261,Bezirksliga,2003,Oberfranken
17.,Dorsch,Helmut,TSV Breitengüßbach,52,261,Bezirksliga,2003,Oberfranken
18.,Wander,Volkmar,BBC Bayreuth,52,261,Bezirksliga,2003,Oberfranken
19.,Vogel,Dirk,BBC Bayreuth,51,261,Bezirksliga,2003,Oberfranken
20.,Petrick,Robert,TSV Hirschaid,50,261,Bezirksliga,2003,Oberfranken
21.,Picht,Herwig,TSV Breitengüßbach,39,261,Bezirksliga,2003,Oberfranken
22.,Reinfelder,Christian,1.FC Baunach,34,261,Bezirksliga,2003,Oberfranken
23.,Uch,Hans-Jürgen,TSV Breitengüßbach,31,261,Bezirksliga,2003,Oberfranken
24.,Goppert,Wolfgang,TSV Breitengüßbach,30,261,Bezirksliga,2003,Oberfranken
25.,Cummings,Keith,TSV Hirschaid,28,261,Bezirksliga,2003,Oberfranken
26.,Renner,Gerhard,BBC Bayreuth,28,261,Bezirksliga,2003,Oberfranken
27.,Korn,Wilfried,TSV Breitengüßbach,27,261,Bezirksliga,2003,Oberfranken
28.,Kramer,Konrad,TSV Hirschaid,23,261,Bezirksliga,2003,Oberfranken
29.,Göhring,Eduard,BBC Bayreuth,22,261,Bezirksliga,2003,Oberfranken
30.,Knörl,Hermann,TSV Hirschaid,22,261,Bezirksliga,2003,Oberfranken
31.,Schabacker,Ulf,TSV Breitengüßbach,19,261,Bezirksliga,2003,Oberfranken
32.,Froese,Ingo,BBC Bayreuth,18,261,Bezirksliga,2003,Oberfranken
33.,Kern,Dr. Günter,1.FC Baunach,18,261,Bezirksliga,2003,Oberfranken
34.,Arnold,Bernhard,TSV Hirschaid,15,261,Bezirksliga,2003,Oberfranken
35.,Straub,Armin,TSV Hirschaid,13,261,Bezirksliga,2003,Oberfranken
36.,Trunk,Robert,TSV Breitengüßbach,13,261,Bezirksliga,2003,Oberfranken
37.,Henzler,Jens,TSV Breitengüßbach,11,261,Bezirksliga,2003,Oberfranken
38.,Keppner,Volker,TSV Breitengüßbach,8,261,Bezirksliga,2003,Oberfranken
39.,Grube,Achim,TSV Hirschaid,7,261,Bezirksliga,2003,Oberfranken
40.,Heberlein,Ralf,TSV Breitengüßbach,6,261,Bezirksliga,2003,Oberfranken
41.,Lohmann,Stefan,BBC Bayreuth,6,261,Bezirksliga,2003,Oberfranken
42.,Sauer,Winfried,TSV Hirschaid,6,261,Bezirksliga,2003,Oberfranken
43.,Wagner,Hans-Günther,TSV Breitengüßbach,5,261,Bezirksliga,2003,Oberfranken
44.,Wagner,Jürgen,TSV Breitengüßbach,4,261,Bezirksliga,2003,Oberfranken
45.,Meserth,Henry,BBC Bayreuth,3,261,Bezirksliga,2003,Oberfranken
46.,Giannulopulos,Christos,TSV Hirschaid,2,261,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senioren II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,261,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,261,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,261,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,261,Bezirksliga,2003,Oberfranken
1.,Reuß,Carmen,SC Kemmern,48,262,Bezirksliga,2003,Oberfranken
2.,Maron,Birgit,BBC Bayreuth,47,262,Bezirksliga,2003,Oberfranken
3.,Rosiwal,Silvia,DJK Bamberg,45,262,Bezirksliga,2003,Oberfranken
4.,Ilmberger,Angelika,DJK Bamberg,36,262,Bezirksliga,2003,Oberfranken
5.,Zink,Birgit,SC Kemmern,30,262,Bezirksliga,2003,Oberfranken
6.,Frank,Susanne,BBC Bayreuth,28,262,Bezirksliga,2003,Oberfranken
7.,Förner,Martina,SC Kemmern,28,262,Bezirksliga,2003,Oberfranken
8.,Pautz,Urte,DJK Bamberg,23,262,Bezirksliga,2003,Oberfranken
9.,Albrecht,Claudia,SC Kemmern,22,262,Bezirksliga,2003,Oberfranken
10.,Kirsch,Stephanie,BBC Bayreuth,20,262,Bezirksliga,2003,Oberfranken
11.,Öhlein,Birgit,DJK Bamberg,20,262,Bezirksliga,2003,Oberfranken
12.,Schreiner,Petra,DJK Bamberg,20,262,Bezirksliga,2003,Oberfranken
13.,Meixner,Jutta,BBC Bayreuth,18,262,Bezirksliga,2003,Oberfranken
14.,Zink,Jutta,SC Kemmern,14,262,Bezirksliga,2003,Oberfranken
15.,Mayer,Brigitte,SC Kemmern,12,262,Bezirksliga,2003,Oberfranken
16.,Uch,Andrea,SC Kemmern,12,262,Bezirksliga,2003,Oberfranken
17.,Weig,Susanne,SC Kemmern,10,262,Bezirksliga,2003,Oberfranken
18.,Kröner,Birgit,DJK Bamberg,8,262,Bezirksliga,2003,Oberfranken
19.,Ullein,Sabine,DJK Bamberg,8,262,Bezirksliga,2003,Oberfranken
20.,Uch,Christine,SC Kemmern,6,262,Bezirksliga,2003,Oberfranken
21.,Weiss,Jutta,DJK Bamberg,2,262,Bezirksliga,2003,Oberfranken
22.,Babler,Beate,BBC Bayreuth,2,262,Bezirksliga,2003,Oberfranken
23.,Kawan,Christine,BBC Bayreuth,2,262,Bezirksliga,2003,Oberfranken
Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senorinnen II (Ü35 Oberfranken),Team Statistiken,Beste Werfer/innen,262,Bezirksliga,2003,Oberfranken
Beste Werfer/innen,Top 10,Top 25,Alle,,262,Bezirksliga,2003,Oberfranken
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,262,Bezirksliga,2003,Oberfranken
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,262,Bezirksliga,2003,Oberfranken
1.,Eidelloth,David,VfL Jahn Bamberg,428,245,Bezirksliga,2003,Oberfranken
