lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
52.,Holland,Monika,1. FC Baunach,10,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
53.,Oßmann,Linda,TS Kronach,10,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
54.,Bochröder,Lea,TSV Ludwigsstadt,9,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
55.,Wiens,Linda,TS Kronach,8,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
56.,Zedler,Alina,BBC Inviniti Bayreuth,7,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
57.,Schneider,Lena,TS Kronach,7,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
58.,Söllner,Hanna,TSV Ludwigsstadt,7,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
59.,Kotschenreuther,Stefanie,TS Kronach,6,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
60.,Oßmann,Alina,TS Kronach,4,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
61.,Jakob,Alexandra,TSV Ludwigsstadt,4,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
62.,Wohlfahrt,Eva,TSV Ludwigsstadt,4,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
63.,Fiedler,Milena,BBF Küps,4,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
64.,Murtaj,Eliza,SC Kemmern 3,3,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
65.,Bosch,Lea,SC Kemmern 3,3,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
66.,Mohr,Lea,SC Kemmern 3,2,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
67.,Weber,Theresa,BBF Küps,2,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
68.,Heuschmann,Lena,BBF Küps,2,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
69.,Meier,Celine,BBF Küps,2,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen A (Senioren Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen A (Senioren Oberfranken),Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen A (Senioren Oberfranken),Team Statistiken,Beste Werfer/innen,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
Beste Werfer/innen,Top 10,Top 25,Alle,,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,26222,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen A,
1.,Bascunana Sierra,Ariadna,BBC Coburg,146,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
2.,Simon,Paula,ATS Kulmbach,132,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
3.,Sponsel,Maria,DJK Eggolsheim,129,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
4.,Vorndran,Jule,BBC Coburg,123,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
5.,Kinzel,Sina,DJK Eggolsheim,119,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
6.,Fischer,Lea,BBC Coburg,107,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
7.,Jentsch,Sarah,BG Litzendorf 2,104,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
8.,Dietel,Elisabeth,BBC Coburg,101,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
9.,Ruff,Ann-Katrin,BG Litzendorf 2,88,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
10.,Burgis,Jasmin,RSC Oberhaid,87,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
11.,Kölsch,Nina,RSC Oberhaid,87,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
12.,Hansl,Melanie,ATS Kulmbach,87,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
13.,Goller,Isabell,BG Litzendorf 2,81,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
14.,Kinzel,Tamina,DJK Eggolsheim,75,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
15.,Zimmermann,Anika,DJK Don Bosco Bamberg 3,74,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
16.,Maaßen,Josepha,DJK Eggolsheim,71,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
17.,Sauer,Sinja,DJK Don Bosco Bamberg 3,68,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
18.,Zimmer,Carolin,BG Litzendorf 2,68,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
19.,Kestler,Lisa,BG Litzendorf 2,65,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
20.,Kamm,Julia,DJK Don Bosco Bamberg 3,58,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
21.,Ankenbrand,Jessica,RSC Oberhaid,53,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
22.,Meinhart,Lara,DJK Don Bosco Bamberg 3,53,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
23.,Wenzel,Annika,DJK Eggolsheim,53,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
24.,Weisath,Regina,ATS Kulmbach,52,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
25.,Stretz,Simone,RSC Oberhaid,51,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
26.,Christa,Melissa,RSC Oberhaid,50,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
27.,Stromer,Annika,BG Litzendorf 2,50,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
28.,Hebeis,Mara,DJK Don Bosco Bamberg 3,50,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
29.,Nürnberger,Melanie,RSC Oberhaid,49,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
30.,Werner,Ivona,BG Litzendorf 2,47,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
31.,Rosiwal,Silvia,DJK Don Bosco Bamberg 3,44,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
32.,Nistelweck,Laura,DJK Eggolsheim,38,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
33.,Lingrön,Jennifer,RSC Oberhaid,37,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
34.,Schrüfer,Jasmin,BG Litzendorf 2,37,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
35.,Hartl,Sophia,ATS Kulmbach,35,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
36.,Fischer,Monika,DJK Eggolsheim,31,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
37.,Opel,Alicia,BG Litzendorf 2,24,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
38.,Fischer,Eva,DJK Don Bosco Bamberg 3,21,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
39.,Difour,Janine,BBC Coburg,21,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
40.,Högen,Stella,DJK Don Bosco Bamberg 3,18,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
41.,Kastner,Anja,BG Litzendorf 2,18,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
42.,Schüpferling,Anna,DJK Don Bosco Bamberg 3,18,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
43.,Krüger,Mientje,ATS Kulmbach,18,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
44.,Hidalgo Gil,Birgit,DJK Don Bosco Bamberg 3,18,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
45.,Hanisch,Nicol,ATS Kulmbach,17,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
46.,Krause,Ina,RSC Oberhaid,16,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
47.,****,***,BBC Coburg,16,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
48.,Richter,Luise,BBC Coburg,15,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
49.,Schurkus,Katharina,ATS Kulmbach,15,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
50.,Hanna,Julia,ATS Kulmbach,14,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
51.,****,***,BBC Coburg,12,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
52.,Schimmer,Nathalie,BG Litzendorf 2,12,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
53.,Leopold,Mandy,RSC Oberhaid,10,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
54.,Ackermann,Cornelia,DJK Eggolsheim,10,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
55.,Großkopf,Laura,BG Litzendorf 2,10,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
56.,Rippel,Lucia,RSC Oberhaid,9,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
57.,Becker,Louise,DJK Don Bosco Bamberg 3,9,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
58.,Paul,Lisa-Marie,RSC Oberhaid,8,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
59.,Medina Medina,Nubia Fernanda,DJK Eggolsheim,7,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
60.,****,***,DJK Eggolsheim,7,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
61.,Krüger,Hauke,ATS Kulmbach,6,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
62.,Rohde,Berit,DJK Don Bosco Bamberg 3,6,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
63.,Mackedanz,Christina,DJK Eggolsheim,6,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
64.,Arlt,Natalie,ATS Kulmbach,6,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
65.,Pfister,Hannah,DJK Eggolsheim,6,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
66.,Gabriel,Laura,DJK Eggolsheim,5,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
67.,Winkler,Lisa,BG Litzendorf 2,5,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
68.,****,***,DJK Eggolsheim,5,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
69.,Kröner,Birgit,DJK Don Bosco Bamberg 3,4,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
70.,Heß,Leonie,BG Litzendorf 2,4,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
71.,Schreyer,Regina,RSC Oberhaid,4,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
72.,Eichhorn,Laura,RSC Oberhaid,2,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
73.,Jularic,Sofija,BBC Coburg,2,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
74.,Paul,Jennifer,DJK Don Bosco Bamberg 3,2,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
75.,Arlt,Katharina,ATS Kulmbach,2,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
76.,Richter,Lina,BBC Coburg,2,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
77.,Hümmer,Sandra,RSC Oberhaid,1,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen B (Senioren Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen B (Senioren Oberfranken),Statistikdaten (Saison: 2018/2019) - Bezirksoberliga Damen B (Senioren Oberfranken),Team Statistiken,Beste Werfer/innen,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
Beste Werfer/innen,Top 10,Top 25,Alle,,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,26354,2018,Oberfranken,Bezirksoberliga,Senioren,weiblich,Bezirksoberliga Damen B,
