lastname,firstname,team,points,games,liga_id,season,bezirk,spielklasse,altersklasse,geschlecht,league_full_name,kreis
43.,Gutgesell,Günther,TS Lichtenfels,10,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
44.,Ruß,Michael,1. FC Baunach,9,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
45.,Wagner,Jürgen,TSV Breitengüßbach,5,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
46.,Brändlein,Peter,1. FC Baunach,4,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
47.,Vogel,Michael,BBC Bayreuth,2,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
48.,Vogel,Jürgen,BBC Bayreuth,2,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken)Team StatistikenBeste Werfer/innenTop 10Top 25AlleBeste Freiwerfer/innenTop 10mind. 10 TrefferTop 25mind. 5 TrefferAlleBeste 3er-Werfer/innenTop 10Top 25Alle,Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken),Statistikdaten (Saison: 2003/2004) - Senioren III (Ü40 Oberfranken),Team Statistiken,Beste Werfer/innen,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
Beste Werfer/innen,Top 10,Top 25,Alle,,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
Beste Freiwerfer/innen,Top 10mind. 10 Treffer,Top 25mind. 5 Treffer,Alle,,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
Beste 3er-Werfer/innen,Top 10,Top 25,Alle,,263,2003,Oberfranken,Bezirksliga,Ü40,männlich,Senioren III,
- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunachabsolut /relativ10-25- alleStand: 24.02.2004,- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunachabsolut /relativ10-25- alleStand: 24.02.2004,- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunach,absolut /relativ,10-25- alle,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunachabsolut /relativ10-25- alleStand: 24.02.2004,- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunach,absolut /relativ,10-25- alle,Stand: 24.02.2004,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
- alle Mannschaften -BBC BayreuthTSV BreitengüßbachTSV Hirschaid1.FC Baunach,absolut /relativ,10-25- alle,Stand: 24.02.2004,,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
1.,Thurn,Michael,1.FC Baunach,132,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
2.,Scharting,Christian,TSV Hirschaid,117,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
3.,Adler,Rudolf,BBC Bayreuth,113,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
4.,Weiß,Konrad,1.FC Baunach,101,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
5.,Kerner,Martin,BBC Bayreuth,95,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
6.,Schabacker,Rainer,TSV Breitengüßbach,90,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
7.,Gradl,Christoph,1.FC Baunach,88,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
8.,Neubauer,Stefan,TSV Breitengüßbach,79,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
9.,Kühhorn,Ingmar,1.FC Baunach,72,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
10.,Schmidt,Joachim,BBC Bayreuth,69,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
11.,Fuchs,Jürgen,1.FC Baunach,69,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
12.,Kober,Hans-Jürgen,1.FC Baunach,67,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
13.,Vogel,Michael,BBC Bayreuth,65,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
14.,Lohneis,Rüdiger,TSV Breitengüßbach,58,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
15.,Geheeb,Rainer,TSV Hirschaid,58,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
16.,Tadda,Walter,TSV Breitengüßbach,53,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
17.,Dorsch,Helmut,TSV Breitengüßbach,52,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
18.,Wander,Volkmar,BBC Bayreuth,52,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
19.,Vogel,Dirk,BBC Bayreuth,51,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
20.,Petrick,Robert,TSV Hirschaid,50,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
21.,Picht,Herwig,TSV Breitengüßbach,39,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
22.,Reinfelder,Christian,1.FC Baunach,34,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
23.,Uch,Hans-Jürgen,TSV Breitengüßbach,31,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
24.,Goppert,Wolfgang,TSV Breitengüßbach,30,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
25.,Cummings,Keith,TSV Hirschaid,28,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
26.,Renner,Gerhard,BBC Bayreuth,28,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
27.,Korn,Wilfried,TSV Breitengüßbach,27,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
28.,Kramer,Konrad,TSV Hirschaid,23,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
29.,Göhring,Eduard,BBC Bayreuth,22,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
30.,Knörl,Hermann,TSV Hirschaid,22,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
31.,Schabacker,Ulf,TSV Breitengüßbach,19,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
32.,Froese,Ingo,BBC Bayreuth,18,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
33.,Kern,Dr. Günter,1.FC Baunach,18,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
34.,Arnold,Bernhard,TSV Hirschaid,15,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
35.,Straub,Armin,TSV Hirschaid,13,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
36.,Trunk,Robert,TSV Breitengüßbach,13,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
37.,Henzler,Jens,TSV Breitengüßbach,11,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
38.,Keppner,Volker,TSV Breitengüßbach,8,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
39.,Grube,Achim,TSV Hirschaid,7,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
40.,Heberlein,Ralf,TSV Breitengüßbach,6,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
41.,Lohmann,Stefan,BBC Bayreuth,6,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
42.,Sauer,Winfried,TSV Hirschaid,6,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
43.,Wagner,Hans-Günther,TSV Breitengüßbach,5,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
44.,Wagner,Jürgen,TSV Breitengüßbach,4,261,2003,Oberfranken,Bezirksliga,Ü35,männlich,Senioren II,
